date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
2010/1/2 0:00,129,0,0,0,SE,0,0,0
2010/1/2 1:00,148,0,0,0,SE,0,0,0
2010/1/2 2:00,159,0,0,0,SE,0,0,0
2010/1/2 3:00,181,0,0,0,SE,0,0,0
2010/1/2 4:00,138,0,0,0,SE,0,0,0
2010/1/2 5:00,109,0,0,0,SE,0,0,0
2010/1/2 6:00,105,0,0,0,SE,0,0,0
2010/1/2 7:00,124,0,0,0,SE,0,0,0
2010/1/2 8:00,120,0,0,0,SE,0,0,0
2010/1/2 9:00,132,0,0,0,SE,0,0,0
2010/1/2 10:00,140,0,0,0,SE,0,0,0
2010/1/2 11:00,152,0,0,0,SE,0,0,0
2010/1/2 12:00,148,0,0,0,SE,0,0,0
2010/1/2 13:00,164,0,0,0,SE,0,0,0
2010/1/2 14:00,158,0,0,0,SE,0,0,0
2010/1/2 15:00,154,0,0,0,SE,0,0,0
2010/1/2 16:00,159,0,0,0,SE,0,0,0
2010/1/2 17:00,164,0,0,0,SE,0,0,0
2010/1/2 18:00,170,0,0,0,SE,0,0,0
2010/1/2 19:00,149,0,0,0,SE,0,0,0
2010/1/2 20:00,154,0,0,0,SE,0,0,0
2010/1/2 21:00,164,0,0,0,SE,0,0,0
2010/1/2 22:00,156,0,0,0,SE,0,0,0
2010/1/2 23:00,126,0,0,0,SE,0,0,0
2010/1/3 0:00,90,0,0,0,SE,0,0,0
2010/1/3 1:00,63,0,0,0,SE,0,0,0
2010/1/3 2:00,65,0,0,0,SE,0,0,0
2010/1/3 3:00,55,0,0,0,SE,0,0,0
2010/1/3 4:00,65,0,0,0,SE,0,0,0
2010/1/3 5:00,83,0,0,0,SE,0,0,0
2010/1/3 6:00,91,0,0,0,SE,0,0,0
2010/1/3 7:00,86,0,0,0,SE,0,0,0
2010/1/3 8:00,82,0,0,0,SE,0,0,0
2010/1/3 9:00,86,0,0,0,SE,0,0,0
2010/1/3 10:00,78,0,0,0,SE,0,0,0
2010/1/3 11:00,98,0,0,0,SE,0,0,0
2010/1/3 12:00,107,0,0,0,SE,0,0,0
2010/1/3 13:00,90,0,0,0,SE,0,0,0
2010/1/3 14:00,96,0,0,0,SE,0,0,0
2010/1/3 15:00,95,0,0,0,SE,0,0,0
2010/1/3 16:00,86,0,0,0,SE,0,0,0
2010/1/3 17:00,70,0,0,0,SE,0,0,0
2010/1/3 18:00,61,0,0,0,cv,0,0,0
2010/1/3 19:00,53,0,0,0,cv,0,0,0
2010/1/3 20:00,71,0,0,0,NW,0,0,0
2010/1/3 21:00,72,0,0,0,NW,0,0,0
2010/1/3 22:00,76,0,0,0,NW,0,0,0
